time	V(a)	V(n001)
2.180603153556676e-04	3.040105e-01	-9.957896e-02
2.273419260425752e-04	4.803315e-01	2.792623e-01
2.362069377555793e-04	5.851692e-01	6.410995e-01
2.450000000000004e-04	6.543661e-01	1.000000e+00
2.458793062244425e-04	5.918808e-01	9.641100e-01
2.476379186733267e-04	4.750066e-01	8.923299e-01
2.511551435710951e-04	2.748622e-01	7.487696e-01
2.578073647183758e-04	-1.957752e-02	4.772504e-01
2.661086469353497e-04	-2.795771e-01	1.384226e-01
2.749477404242612e-04	-4.588521e-01	-2.223568e-01
2.840950384652850e-04	-5.829346e-01	-5.957159e-01
2.872470259275805e-04	-6.098744e-01	-7.243684e-01
2.940000000000004e-04	-6.533387e-01	-1.000000e+00
2.952607949849186e-04	-5.629313e-01	-9.485390e-01
2.969418549648095e-04	-4.528170e-01	-8.799243e-01
3.003039749245913e-04	-2.645409e-01	-7.426949e-01
3.070282148441550e-04	2.907074e-02	-4.682361e-01
3.153097111687700e-04	2.851738e-01	-1.302159e-01
3.242733563283689e-04	4.642590e-01	2.356472e-01
3.333670022640032e-04	5.862058e-01	6.068164e-01
3.353637329393997e-04	6.034595e-01	6.883156e-01
3.430000000000005e-04	6.535687e-01	1.000000e+00
3.444921878480222e-04	5.475347e-01	9.390944e-01
3.464817716453844e-04	4.204204e-01	8.578869e-01
3.504609392401088e-04	2.087349e-01	6.954719e-01
3.584192744295577e-04	-1.137677e-01	3.706419e-01
3.661904806798128e-04	-3.330918e-01	5.344977e-02
3.747358557942754e-04	-4.881491e-01	-2.953410e-01
3.829001342702551e-04	-5.825135e-01	-6.285769e-01
3.920000000000005e-04	-6.541067e-01	-1.000000e+00
3.929099865729750e-04	-5.895876e-01	-9.628577e-01
3.947299597189241e-04	-4.691749e-01	-8.885731e-01
3.983699060108223e-04	-2.636622e-01	-7.400038e-01
4.050920878752106e-04	3.053291e-02	-4.656291e-01
4.134012677804726e-04	2.869835e-01	-1.264789e-01
4.222737789485411e-04	4.639859e-01	2.356644e-01
4.314108080228524e-04	5.864020e-01	6.086044e-01
4.327831365723403e-04	5.986159e-01	6.650159e-01
4.341554651218282e-04	6.098816e-01	7.212281e-01
4.355277936713161e-04	6.201989e-01	7.772412e-01
4.369001222208039e-04	6.295680e-01	8.330551e-01
4.382724507702918e-04	6.379887e-01	8.886698e-01
4.396447793197797e-04	6.454612e-01	9.440854e-01
4.410171078692675e-04	6.519854e-01	9.993017e-01
4.416378791255201e-04	6.062777e-01	9.739641e-01
4.422586503817727e-04	5.622269e-01	9.486265e-01
4.428794216380252e-04	5.198330e-01	9.232889e-01
4.435001928942779e-04	4.790959e-01	8.979513e-01
4.441209641505304e-04	4.400158e-01	8.726137e-01
4.447417354067830e-04	4.025924e-01	8.472761e-01
4.453625066630356e-04	3.668260e-01	8.219385e-01
4.497421211953372e-04	1.455842e-01	6.431787e-01
4.574239216470067e-04	-1.473183e-01	3.296359e-01
4.656554658482307e-04	-3.622229e-01	-6.345545e-03
4.751238684565078e-04	-5.220538e-01	-3.928110e-01
4.812369072956929e-04	-5.883619e-01	-6.423227e-01
4.900000000000007e-04	-6.540217e-01	-1.000000e+00
4.908763092704315e-04	-5.917520e-01	-9.642323e-01
4.926289278112931e-04	-4.752558e-01	-8.926968e-01
4.961341648930163e-04	-2.696550e-01	-7.496259e-01
5.000000000000000e-04	-6.945238e-02	-5.918368e-01
