Var1,mag_dB,phase
17427.7467840892,-48.3623224586118,176.492628112649
17589.1659032773,-48.2018487226653,176.4599729959
17752.0801171764,-48.0413691728412,176.427010669141
17916.503273639,-47.8808837017687,176.393738153297
18082.4493487795,-47.7203922001103,176.360152437934
18249.9324481615,-47.5598945565264,176.326250480864
18418.9668079971,-47.3993906576391,176.292029207741
18589.5667963569,-47.2388803879959,176.25748551165
18761.7469143912,-47.0783636300322,176.222616252692
18935.521797563,-46.9178402640333,176.187418257554
19110.9062168914,-46.757310168096,176.151888319084
19287.9150802078,-46.5967732180895,176.116023195846
19466.5634334226,-46.4362292876153,176.079819611677
19646.8664618044,-46.2756782479666,176.043274255228
19828.8394912707,-46.1151199680874,176.006383779507
20012.4979896903,-45.9545543145299,175.969144801403
20197.8575681988,-45.7939811514125,175.931553901209
20384.9339825246,-45.6334003403759,175.893607622132
20573.7431343291,-45.4728117405394,175.8553024698
20764.3010725577,-45.3122152084553,175.816634911753
20956.6239948043,-45.1516105980644,175.777601376929
21150.7282486879,-44.9909977606483,175.73819825514
21346.6303332425,-44.8303765447832,175.69842189654
21544.3469003188,-44.6697467962917,175.658268611078
21743.8947560008,-44.5091083581935,175.617734667946
21945.2908620331,-44.3484610706567,175.576816295016
22148.5523372636,-44.1878047709467,175.535509678263
22353.696459098,-44.0271392933751,175.493810961182
22560.7406649686,-43.866464469248,175.451716244191
22769.7025538168,-43.7057801268126,175.40922158402
22980.5998875885,-43.5450860912038,175.366322993099
23193.4505927443,-43.384382184389,175.323016438918
23408.2727617829,-43.2236682251131,175.279297843391
23625.0846547794,-43.0629440288418,175.235163082195
23843.9047009372,-42.9022094077038,175.190607984104
24064.7515001542,-42.7414641704333,175.145628330306
24287.6438246045,-42.5807081223101,175.100219853711
24512.6006203334,-42.4199410650996,175.054378238238
24739.6410088681,-42.2591627969919,175.008099118095
24968.7842888433,-42.0983731125392,174.961378077038
25200.0499376409,-41.9375718025929,174.914210647627
25433.4576130465,-41.7767586542398,174.866592310447
25669.0271549195,-41.6159334507364,174.818518493339
